date,open,high,low,close,gdelt_sentiment,log_return,fwd_return,label,sentiment_7d_mean,log_return_7d_mean,log_return_7d_std,close_30d_ma,close_30d_std,daily_range,open_close_change
2013-05-10,1.3043,1.305,1.2934,1.2992,-0.29099758900702,-0.003994474507750651,-0.0008470335084646159,0,-0.22423953038329872,-0.0020957413925419797,0.005888546808977699,1.30413,0.009089370449729472,0.011599999999999833,-0.0051000000000001044
2013-05-13,1.2977,1.2999,1.2941,1.2981,-0.1901494292542338,-0.0008470335084646159,-0.0038592205971429397,-1,-0.22243383350737742,-0.0008886430813725736,0.004959090154839405,1.3045933333333333,0.008363711984574855,0.005800000000000027,0.00039999999999995595
2013-05-14,1.2982,1.3028,1.2915,1.2931,-0.3136382587254047,-0.0038592205971429397,-0.003951808637506886,-1,-0.19382247014325996,-0.002007547503959014,0.004545684867320384,1.3049600000000001,0.007544607574173578,0.011299999999999866,-0.0051000000000001044
2013-05-15,1.2931,1.2942,1.2842,1.288,-0.5505484066903591,-0.003951808637506886,0.0002328921331801362,0,-0.2686041423385696,-0.002124759129073613,0.004589854862156775,1.3050866666666667,0.007208459270709145,0.010000000000000009,-0.005099999999999882
2013-05-16,1.2879,1.2929,1.2845,1.2883,-0.2710848848025004,0.0002328921331801362,-0.003499089919801256,-1,-0.3072263546243664,-0.0021461166185280595,0.004576572822437999,1.3049233333333334,0.007535190240068547,0.008399999999999963,0.00039999999999995595
2013-05-17,1.2882,1.289,1.2795,1.2838,-0.3517951508983969,-0.003499089919801256,0.00349908991980128,1,-0.3056962932149569,-0.00350634478487353,0.002823198218310996,1.3044200000000001,0.008405474406599625,0.009499999999999842,-0.0043999999999999595
2013-05-20,1.2844,1.2901,1.2818,1.2883,-0.2583426060155034,0.00349908991980128,0.001706220361189526,0,-0.31807947505620265,-0.001774235016812133,0.002877782638816687,1.3039733333333332,0.00889668412981762,0.008299999999999974,0.0039000000000000146
2013-05-21,1.2884,1.2933,1.284,1.2905,-0.2093601641245186,0.001706220361189526,-0.004115391916965246,-1,-0.3064169857872739,-0.0009598500355349652,0.0029504616433895406,1.3033933333333332,0.009194073553422825,0.009299999999999864,0.0020999999999999908
2013-05-22,1.2905,1.2998,1.2832,1.2852,-0.3778029762208462,-0.004115391916965246,0.006205418609574675,1,-0.3332246353539328,-0.0014267583796064838,0.003179361483039546,1.3026733333333333,0.009747216519861443,0.01660000000000017,-0.005300000000000082
2013-05-23,1.2851,1.2955,1.282,1.2932,-0.6261502914130688,0.006205418609574675,0.0,0,-0.3778692114521705,1.1047221353175636e-05,0.004052001463688445,1.30209,0.009773904383436262,0.013500000000000068,0.008099999999999996
2013-05-24,1.2932,1.2992,1.2903,1.2932,-0.0136096440255641,0.0,0.0003865630725784195,0,-0.3011636739286283,0.000575591312425588,0.0036646332339913736,1.3015066666666664,0.009764535878347917,0.008899999999999908,0.0
2013-05-27,1.2934,1.2944,1.2933,1.2937,-0.2967424444854259,0.0003865630725784195,-0.006591981682152949,-1,-0.3048290395976177,0.0005975443037681998,0.0036626979093114416,1.3011466666666667,0.009849093546015535,0.001100000000000101,0.00029999999999996696
2013-05-28,1.2932,1.2949,1.2848,1.2852,0.000285202016433,-0.006591981682152949,0.0067465650802039446,1,-0.25453184632407055,0.0001557026234322437,0.004359519073177428,1.30006,0.009746214119091464,0.010099999999999998,-0.008000000000000007
2013-05-29,1.2852,1.2977,1.2837,1.2939,-0.235695606097579,0.0067465650802039446,0.008158912254875835,1,-0.25129656062150996,0.00061962764634691,0.004912349804637677,1.2997400000000001,0.009786887779769365,0.014000000000000012,0.008700000000000152
2013-05-30,1.2938,1.3061,1.2931,1.3045,-0.2168866130523383,0.008158912254875835,-0.0039941676880924796,-1,-0.25237176761119845,0.0015414407740163827,0.0056935495109639725,1.2997233333333333,0.009778043078079963,0.013000000000000123,0.010699999999999932
2013-05-31,1.3045,1.3059,1.2943,1.2993,-0.6392096178606153,-0.0039941676880924796,0.005832262714299533,1,-0.28971557355973687,0.0015587585209982063,0.005673625264095225,1.2995233333333334,0.009721241702061073,0.011600000000000055,-0.0052000000000000934
2013-06-03,1.299,1.3106,1.2952,1.3069,-0.3612876236438751,0.005832262714299533,0.0009177820911911771,0,-0.2518780495927092,0.0015054505359589003,0.005624227913630894,1.29955,0.009740981682455685,0.01540000000000008,0.007900000000000018
2013-06-04,1.307,1.31,1.3041,1.3081,-0.2656635783612728,0.0009177820911911771,0.0008405609328440339,0,-0.2878857544978105,0.0016365622632719258,0.005593899633175907,1.29982,0.009865348622744241,0.005900000000000016,0.001100000000000101
2013-06-05,1.3081,1.3115,1.3052,1.3092,-0.4064036030322313,0.0008405609328440339,0.01109012505779713,1,-0.30355163429021126,0.0017014191004527275,0.005579605032501227,1.3000866666666666,0.010010984771337906,0.006300000000000194,0.0010999999999998789
