date,open,high,low,close,gdelt_sentiment
2013-06-11,1.3278,1.3317,1.323,1.3312,-0.48909379728138447
2013-06-12,1.3313,1.3359,1.3264,1.3338,-0.1457838151603937
2013-06-13,1.3337,1.339,1.3277,1.3372,0.06851604906842113
2013-06-14,1.3372,1.3373,1.3294,1.3345,-0.27660647183656695
2013-06-17,1.3348,1.3381,1.3316,1.3363,-0.0983677301555872
2013-06-18,1.3361,1.3415,1.3323,1.3394,0.08970430307090282
2013-06-19,1.3393,1.3415,1.3261,1.3295,-0.42820772528648376
2013-06-20,1.3296,1.3302,1.3161,1.3226,-0.23467905322710672
2013-06-21,1.3225,1.3253,1.3098,1.3115,-0.05062515661120415
2013-06-24,1.3104,1.3144,1.3057,1.3122,0.08642905702193578
2013-06-25,1.3123,1.315,1.3063,1.3081,-0.1756424531340599
2013-06-26,1.3081,1.3087,1.2984,1.3007,-0.3128005564212799
2013-06-27,1.3007,1.3056,1.2998,1.3037,-0.2221199320629239
2013-06-28,1.3035,1.3103,1.299,1.302,-0.18016340304166079
2013-07-01,1.3014,1.3069,1.3003,1.3061,-0.27896424507101375
2013-07-02,1.3062,1.3077,1.2963,1.2982,-0.13468662044033408
2013-07-03,1.2979,1.3031,1.2921,1.3009,0.06399519667029381
2013-07-04,1.3007,1.3023,1.2882,1.2912,-0.022102031111717223
2013-07-05,1.2912,1.2917,1.2806,1.2827,-0.20767900347709656
2013-07-08,1.2822,1.2842,1.2818,1.2842,-0.35191570470730466
2013-07-09,1.2857,1.2895,1.2757,1.2786,-0.4206519027551015
2013-07-10,1.2785,1.3023,1.2765,1.3023,-0.2919022757560015
2013-07-11,1.3016,1.3199,1.3007,1.3094,-0.06982675427570939
2013-07-12,1.3092,1.3098,1.3002,1.3062,-0.3315448332577944
2013-07-15,1.3067,1.3076,1.2991,1.3066,-0.3797757849097252
2013-07-16,1.3065,1.317,1.3052,1.3151,0.2502240277826786
2013-07-17,1.3156,1.317,1.3086,1.3122,-0.2594192201892535
2013-07-18,1.3123,1.3125,1.3066,1.3111,0.0008766120299696922
2013-07-19,1.311,1.3147,1.3088,1.3139,-0.15676012635231018
2013-07-22,1.3136,1.3216,1.3136,1.3184,0.026939579285681248
2013-07-23,1.3183,1.3234,1.3163,1.3222,0.022449341602623463
2013-07-24,1.3222,1.3255,1.3177,1.3196,-0.2786678085103631
2013-07-25,1.3198,1.3294,1.3167,1.3275,-0.42477176152169704
2013-07-26,1.3276,1.3294,1.3252,1.3275,-0.3170195998003085
2013-07-29,1.3279,1.3293,1.324,1.326,-0.1890002302825451
2013-07-30,1.3262,1.3296,1.3237,1.3263,0.02039830448726813
2013-07-31,1.3263,1.3343,1.3217,1.3296,-0.6245777582128843
2013-08-01,1.3299,1.331,1.3198,1.3209,-0.08762770394484203
2013-08-02,1.3211,1.3292,1.319,1.3276,-0.46883126348257065
2013-08-05,1.3279,1.3299,1.3234,1.3261,-0.19743655435740948
2013-08-06,1.326,1.3321,1.3246,1.3307,-0.7221473455429077
2013-08-07,1.3305,1.3343,1.3266,1.3336,-0.19429795257747173
2013-08-08,1.3336,1.3399,1.3327,1.338,-0.30251466669142246
2013-08-09,1.338,1.3388,1.3334,1.3335,-0.2175695952028036
2013-08-12,1.3337,1.3342,1.3277,1.3298,-0.4386254586279392
2013-08-13,1.3299,1.3314,1.3235,1.326,-0.21900090482085943
2013-08-14,1.3262,1.3278,1.3239,1.3257,-0.012516243383288383
2013-08-15,1.3257,1.336,1.3208,1.335,-0.014314858863751093
2013-08-16,1.3349,1.3378,1.3311,1.3328,-0.20598943904042244
2013-08-19,1.3334,1.3372,1.3315,1.3335,-0.07276851311326027
2013-08-20,1.3335,1.345,1.3323,1.3417,-0.2379248071461916
2013-08-21,1.3417,1.3427,1.3339,1.3356,-0.0014194590039551258
2013-08-22,1.3357,1.3372,1.3298,1.3355,-0.37244228553026915
2013-08-23,1.3354,1.3407,1.3335,1.3381,-0.12996854819357395
2013-08-26,1.3382,1.339,1.3357,1.3369,0.023730427026748657
2013-08-27,1.337,1.3397,1.3326,1.3389,0.09012007527053356
2013-08-28,1.3391,1.3397,1.3305,1.3339,-0.3022655254850785
2013-08-29,1.334,1.3342,1.3219,1.3237,-0.2340184785425663
2013-08-30,1.324,1.3252,1.3179,1.3218,0.015628721565008163
2013-09-02,1.3212,1.3225,1.3183,1.3194,0.03679284080862999
2013-09-03,1.3193,1.3196,1.3141,1.3165,-0.008622489869594574
2013-09-04,1.3166,1.3217,1.3159,1.3202,-0.19778952561318874
2013-09-05,1.3204,1.3219,1.3111,1.3117,-0.01623701397329569
2013-09-06,1.3117,1.3187,1.3103,1.3177,0.0156838558614254
2013-09-09,1.3173,1.3278,1.3165,1.3252,-0.2644275054335594
2013-09-10,1.3253,1.3274,1.323,1.3265,-0.3371844394132495
2013-09-11,1.3264,1.3321,1.3244,1.331,-0.015052874262134234
2013-09-12,1.331,1.3324,1.3255,1.3298,-0.22294611111283302
2013-09-13,1.3299,1.3319,1.3256,1.329,-0.3995441570878029
2013-09-16,1.3366,1.3383,1.3329,1.3335,-0.30944596938788893
2013-09-17,1.3334,1.3368,1.3325,1.3357,-0.1486673802137375
2013-09-18,1.3358,1.3539,1.3338,1.3507,-0.38394356705248356
2013-09-19,1.3508,1.3567,1.35,1.3528,0.8742952346801758
2013-09-20,1.3529,1.3548,1.3498,1.3522,-0.04196509098013242
2013-09-23,1.353,1.3543,1.348,1.3493,-0.07145274430513382
2013-09-24,1.3492,1.3515,1.3464,1.3469,-0.23083170177415013
2013-09-25,1.3471,1.3534,1.3463,1.3521,-0.6089996136724949
2013-09-26,1.3521,1.3525,1.3473,1.3486,-0.21924683451652527
2013-09-27,1.3487,1.3563,1.3473,1.3522,-0.01763232859472434
2013-09-30,1.348,1.3555,1.3477,1.3522,-0.492876511067152
2013-10-01,1.3521,1.3585,1.3517,1.3522,-0.06024446431547403
2013-10-02,1.3523,1.3604,1.3506,1.3581,-0.29675293030838173
2013-10-03,1.3581,1.3644,1.3577,1.3621,-0.25435141324996946
2013-10-04,1.3622,1.363,1.3541,1.3556,0.03108808398246765
2013-10-07,1.3562,1.359,1.3542,1.3576,-0.340923485159874
2013-10-08,1.3577,1.3605,1.3557,1.3573,0.38844186067581177
2013-10-09,1.3572,1.3603,1.3489,1.3522,0.004191058687865734
2013-10-10,1.3522,1.3543,1.3488,1.3525,-0.25228722890218097
2013-10-11,1.3524,1.358,1.3519,1.3545,-0.3468971326947212
2013-10-14,1.3556,1.3595,1.3544,1.3558,-0.3411077447235584
2013-10-15,1.3558,1.357,1.348,1.3524,-0.026045988003412884
2013-10-16,1.3524,1.3567,1.3474,1.3536,0.04956071674823761
2013-10-17,1.3533,1.3679,1.3516,1.3673,0.011860506609082222
2013-10-18,1.3671,1.3703,1.3659,1.3682,-0.01037481240928173
2013-10-21,1.3682,1.3688,1.3651,1.3676,-0.16417465126141906
2013-10-22,1.3678,1.3791,1.3662,1.3777,0.023068010807037354
2013-10-23,1.3778,1.3792,1.3742,1.3775,-0.07317889109253883
2013-10-24,1.3774,1.3824,1.3768,1.3799,-0.11868146806955338
2013-10-25,1.3797,1.3831,1.3775,1.3803,-0.04699882958084345
2013-10-28,1.3806,1.3817,1.3776,1.3785,-0.43631644640117884
2013-10-29,1.3784,1.3812,1.3737,1.3746,-0.8801294565200806
2013-10-30,1.3744,1.3779,1.3697,1.3737,-0.4148881882429123
2013-10-31,1.3734,1.3738,1.3576,1.3586,-0.48336513837178546
2013-11-01,1.3587,1.3589,1.3478,1.3486,-0.44572030706331134
2013-11-04,1.3486,1.3522,1.3445,1.3514,-0.21830341902871928
2013-11-05,1.3513,1.3521,1.3451,1.3474,-0.08858469873666763
2013-11-06,1.3473,1.3544,1.3467,1.3512,-0.23512390721589327
2013-11-07,1.3515,1.3528,1.3303,1.3419,-0.025266755372285843
2013-11-08,1.3417,1.3434,1.3319,1.3369,-0.03340033752222856
2013-11-11,1.3357,1.3414,1.3343,1.3405,-0.2573007394870122
2013-11-12,1.3404,1.3454,1.3361,1.3434,-0.009093696251511574
2013-11-13,1.3434,1.3494,1.3391,1.3486,-0.05615622214972973
2013-11-14,1.3481,1.3497,1.342,1.3457,-0.18080008774995804
2013-11-15,1.3459,1.3503,1.3432,1.3495,-0.4073819820769131
2013-11-18,1.3496,1.354,1.3473,1.3505,-0.01566227152943611
2013-11-19,1.3504,1.3543,1.3487,1.3538,-0.2443884698053201
2013-11-20,1.3537,1.3575,1.3417,1.3439,-0.5678362846374512
2013-11-21,1.3438,1.3484,1.34,1.348,0.15094448129336038
2013-11-22,1.3482,1.3557,1.3462,1.3557,-0.26007537320256235
2013-11-25,1.3549,1.3559,1.3491,1.3516,-0.614250585436821
2013-11-26,1.3516,1.3574,1.3515,1.3572,-0.5104227376480898
2013-11-27,1.3571,1.3611,1.3557,1.3579,-0.5648419757684072
2013-11-28,1.3577,1.3614,1.3564,1.3604,-0.358404953032732
2013-11-29,1.3605,1.3621,1.3579,1.3586,-0.048545027151703835
2013-12-02,1.3586,1.3613,1.3525,1.3541,-0.25571277970448136
2013-12-03,1.354,1.3611,1.3524,1.3589,-0.29018864370882513
2013-12-04,1.3588,1.36,1.3528,1.3592,-0.23179810866713524
2013-12-05,1.3591,1.3676,1.3546,1.3666,-0.06766908367474873
2013-12-06,1.3666,1.3705,1.363,1.3704,-0.10134274698793888
2013-12-09,1.3713,1.3742,1.3694,1.3738,-0.7945869565010071
2013-12-10,1.3737,1.3791,1.3734,1.3761,-0.3053943073997895
2013-12-11,1.376,1.3807,1.3742,1.3785,-0.03286038339138031
2013-12-12,1.3784,1.3802,1.3737,1.3752,-0.04543429613113403
2013-12-13,1.3753,1.3768,1.3709,1.374,-0.2676882818341255
2013-12-16,1.3727,1.3796,1.3726,1.376,-0.3438318781554699
2013-12-17,1.3761,1.3781,1.3726,1.3767,-0.048098215460777284
2013-12-18,1.3767,1.3804,1.3677,1.3684,-0.3527756656209628
2013-12-19,1.3683,1.3692,1.365,1.366,-0.4692263314500451
2013-12-20,1.3662,1.3705,1.3625,1.3668,-0.31567221507430077
2013-12-23,1.3671,1.3713,1.3666,1.3695,0.027858348563313484
2013-12-24,1.3696,1.3703,1.3655,1.3678,-0.20115860179066658
2013-12-25,1.3678,1.3705,1.3661,1.3679,-0.44169911555945873
2013-12-26,1.368,1.3697,1.3665,1.3689,-0.4547971412539482
2013-12-27,1.369,1.3881,1.3686,1.3746,-0.31241994351148605
2013-12-30,1.3755,1.3819,1.3726,1.3802,-0.6258518788963556
2013-12-31,1.38,1.3811,1.3741,1.3741,-0.5439820357908806
2014-01-01,1.3741,1.3767,1.3741,1.3752,-0.1436524771153927
2014-01-02,1.3759,1.3775,1.3629,1.367,-0.02757447523375352
2014-01-03,1.3669,1.3672,1.3582,1.3586,0.14903852343559265
2014-01-06,1.3591,1.3651,1.3571,1.3627,-0.11761598009616137
2014-01-07,1.3627,1.3654,1.3596,1.3614,-0.2644504625350237
2014-01-08,1.3615,1.3635,1.3555,1.3573,-0.2785148148735364
2014-01-09,1.3574,1.3629,1.3552,1.3605,-0.3141082798441251
2014-01-10,1.3606,1.3685,1.3574,1.3668,-0.5178623596827189
2014-01-13,1.3677,1.3683,1.3638,1.3671,-0.2201082408428192
2014-01-14,1.367,1.3696,1.3649,1.3678,-0.06309361197054386
2014-01-15,1.3677,1.368,1.3581,1.3605,-0.26782616693526506
2014-01-16,1.3603,1.3648,1.3583,1.3619,-0.0021990444511175156
2014-01-17,1.3618,1.3619,1.3517,1.3537,-0.9359349608421326
2014-01-20,1.3537,1.3567,1.3507,1.3551,-0.04691053926944733
